name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"al-Bey, Munsif",96V0729C,2019-07-14 09:03:53,Member fo the public,Reason1,allegationtype2,Information from employer
"Gilder, Brittney",38E3561O,2019-03-24 07:50:41,Employer,Reason2,allegationtype1,Information from employer
"Fernandez, Janet",65X1908P,2019-12-06 01:31:39,Employer,Reason1,allegationtype1,
"Ketchum, Jordyn Andrew",53Y2835F,2019-11-10 03:06:38,Member fo the public,Reason2,allegationtype2,Information from employer
"Costigan, Elisa",18I9909P,2019-02-08 17:26:15,Member fo the public,Reason1,allegationtype1,
"Snider, Makayla",19Q9641V,2019-06-14 12:02:46,Member fo the public,Reason1,allegationtype2,
"Ohlig, Macy",57K3496L,2019-05-31 01:15:59,Employer,Reason2,allegationtype2,Information from employer
"Chavez, Dora",74P2097Q,2019-09-16 13:01:20,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Doud, Abdul Hakeem",51Z3325D,2019-01-08 13:35:02,Employer,Reason2,allegationtype2,Information from employer
"el-Abu, Faisal",32J9760K,2019-03-19 23:43:45,Employer,Reason1,allegationtype2,
"Rodriguez, Michael",28X4969N,2019-10-10 21:48:29,Employer,Reason1,allegationtype2,
"Bueno, Aleena",18V3579F,2019-10-04 01:11:37,Member fo the public,Reason1,allegationtype1,
"Secunda, Meghan",44M8733I,2019-11-14 02:22:52,Employer,Reason1,allegationtype1,
"Schell, Priscilla",14X0424I,2019-08-24 06:26:42,Member fo the public,Reason1,allegationtype1,
"Mummert, Joshua",38M0791E,2019-05-23 10:02:55,Member fo the public,Reason2,allegationtype1,
"Ju, Charell",86J4909N,2019-08-05 20:20:50,Employer,Reason2,allegationtype1,Information from employer
"Diep, Tarah",66Q5324J,2019-04-28 00:05:39,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Bilal, Zahra",99D4380X,2019-03-10 17:57:28,Employer,Reason2,allegationtype1,
"Githere, Alexis",98Q6398V,2019-02-05 01:09:51,Employer,Reason2,allegationtype2,
"Risenhoover, Elijah",96W3272T,2019-12-16 19:55:40,Employer,Reason2,allegationtype1,Information from employer
"Miller, Mareno",63G2150W,2019-02-07 02:12:16,Member fo the public,Reason2,allegationtype2,
"Wagner, Samuel",46F6474B,2019-04-11 18:01:21,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Bacho, Qisma",51X9203X,2019-08-27 11:42:40,Member fo the public,Reason2,allegationtype2,
"Flores Diaz, David",89Y1491Z,2019-03-22 10:33:37,Member fo the public,Reason2,allegationtype1,Information from employer
"Nguyen, Kimberly",99C8858U,2019-09-03 16:09:12,Employer,Reason1,allegationtype1,
"Ondrejka, Allison",85A9952D,2019-05-27 08:40:57,Employer,Reason2,allegationtype1,Information from employer
"Sellers, Tarik",35W5684C,2019-09-05 01:17:26,Employer,Reason1,allegationtype2,
"Kantha, Amanda",63F5625S,2019-11-12 05:49:55,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Wakim, Sabreen",45F2391L,2019-07-08 07:37:36,Member fo the public,Reason1,allegationtype1,
"Rockwell, Gilbert",76S3200E,2019-09-09 04:40:49,Employer,Reason2,allegationtype2,Information from employer
"Ghimire, Moses",19Y5758I,2019-04-25 05:21:55,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Azzi, Aamina",35L4122P,2019-08-14 13:06:16,Member fo the public,Reason1,allegationtype1,
"La Crue, Maira",45Z1674G,2019-09-18 01:44:43,Member fo the public,Reason2,allegationtype1,Information from employer
"Septon, Sarah",57Y0219N,2019-05-28 09:05:23,Employer,Reason1,allegationtype1,
"Lane, Chad",05R9561D,2019-04-22 16:40:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Chavez, Alexander",10T0251E,2019-06-03 08:49:28,Employer,Reason2,allegationtype2,
"el-Afzal, Khaleefa",67T2670I,2019-09-26 11:46:05,Employer,Reason2,allegationtype1,Information from employer
"el-Rizk, Samraa",68K6464C,2019-07-18 21:27:33,Employer,Reason1,allegationtype2,Information from employer
"Lopez, Israel",64S8606H,2019-04-11 16:58:57,Member fo the public,Reason2,allegationtype1,Information from employer
"Eagle, Lanae",82F8937U,2019-07-07 16:19:54,Employer,Reason1,allegationtype2,
"Garcia, Joshua",10Z3800O,2019-05-16 23:19:15,Member fo the public,Reason2,allegationtype2,Information from employer
"St Germain, Haley",97J8828I,2019-01-09 07:47:23,Member fo the public,Reason2,allegationtype1,
"Shafer, Brandon",98O6522X,2019-04-28 14:28:03,Member fo the public,Reason2,allegationtype1,Information from employer
"Valladares, Kenia",69W0422Q,2019-06-16 09:06:49,Member fo the public,Reason2,allegationtype2,Information from employer
"Legarde, Alana",55U7774N,2019-06-19 01:15:32,Employer,Reason1,allegationtype1,Information from employer
"al-Mahfouz, Radiyya",95K7470H,2019-03-09 04:50:25,Member fo the public,Reason1,allegationtype1,
"Denning, Elizabeth",12R8606P,2019-10-29 04:27:11,Employer,Reason2,allegationtype1,Information from employer
"el-Nawaz, Shukri",11L4749X,2019-07-02 21:55:50,Employer,Reason1,allegationtype1,Information from employer
"el-Salam, Hameeda",26Q2094L,2019-02-03 07:57:51,Member fo the public,Reason2,allegationtype1,Information from employer
"Lira, Nickolas",27C8593Y,2019-07-18 11:16:29,Member fo the public,Reason2,allegationtype1,
"Campbell, Justin",51X3533A,2019-04-27 15:46:12,Employer,Reason1,allegationtype2,
"Nguyen, Elaine",46A9531X,2019-08-12 15:22:53,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Mourad, Shahaada",98V4882U,2019-01-27 12:36:28,Employer,Reason2,allegationtype1,
"Callinicos, Emily",85B5396F,2019-03-08 08:13:24,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Amber, Sundus",51U2718F,2019-11-21 18:56:37,Member fo the public,Reason2,allegationtype2,
"Smith, Michael",44K9862B,2019-08-13 07:06:21,Employer,Reason1,allegationtype2,Information from employer
