name,pin,joined,scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
"el-Bacho, Zaidaan",58W5177N,2019-07-21 09:21:30,Education,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
"el-Rashed, Saabiq",93C7874J,2019-10-05 07:26:21,Research,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Smith, Ariel",57W8627L,2019-05-18 02:38:05,Direct clinical care or management – other,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Scotland
"Dentino, Ryan",59T7911Z,2019-01-08 22:27:24,Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"Griffith, Desmond",57F1340Y,2019-05-11 01:06:46,Direct clinical care or management – occupational health,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Nixon, Daryahn",78X3436Y,2019-12-05 23:04:00,Direct clinical care or management – midwifery,Military,Self employed,TRUE,testpostcode2,Test organisation 2,England
"Navajo, Emilio",88A0100C,2019-03-29 18:48:14,Quality assurance or inspection,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
"Blocker, Edgar",04S7669H,2019-07-15 22:54:48,Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
"Landowski, Emily",35P7083L,2019-04-08 20:06:29,Direct clinical care or management – school nursing,Consultancy,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
"Jones, Brennen",95R8480U,2019-11-22 20:10:38,Quality assurance or inspection,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Gray, Alexis",98B9370F,2019-12-11 07:31:01,Direct clinical care or management – occupational health,Governing body or other leadership,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
"el-Rahaim, Ahmed",07F0880E,2019-09-27 12:57:14,Other,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
"al-Salame, Mukarram",28E1867K,2019-10-05 17:38:32,Direct clinical care or management – health visiting,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
"el-Waheed, Saamir",77D5268J,2019-06-05 19:28:49,Direct clinical care or management – public health,Police,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
"Guerrero, Carlos",83F7238N,2019-07-22 19:21:23,Direct clinical care or management – public health,Military,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
"Moore, Joyce",16L9474K,2019-08-28 05:52:27,Direct clinical care or management – school nursing,School,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Mayer, Angelique",64X7075Y,2019-10-17 03:52:05,Direct clinical care or management – health visiting,Private domestic setting,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
"Paiz, Matthew",43Y9939F,2019-11-07 12:59:29,Direct clinical care or management – health visiting,GP practice or other primary care,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
"Watts, Gabriel",30T9558J,2019-01-20 17:31:48,Direct clinical care or management – mental health nursing,Care home sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
"Mason, Courtney",69K2208P,2019-08-28 06:08:25,Direct clinical care or management – mental health nursing,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
"Castaneda, Diana",59R5661N,2019-09-14 20:57:10,Direct clinical care or management – mental health nursing,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
"Banuelos, Breanna",58K4496N,2019-09-01 23:17:19,Policy,Occupational health,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
"Haun, Kellie",17U0712X,2019-08-11 13:23:44,Other,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Choe, Tien",59I1395Y,2019-08-20 17:07:36,Policy,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
"Avery, Tre-Vonte",86E0738R,2019-01-02 05:38:47,Direct clinical care or management – learning disabilities nursing,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
"Marynowski, Elizabeth",41X1479Z,2019-11-05 20:02:33,Direct clinical care or management – occupational health,School,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Barnard, Ciara",82D3869B,2019-01-18 13:45:11,Direct clinical care or management – public health,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
"Brooks, Marcus",76Y5177U,2019-11-23 12:44:15,Direct clinical care or management – adult and general care nursing,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
"Wartman, Mitchell",62X8836V,2019-09-14 22:48:44,Other,Insurance or legal,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
"Lytle, Kursh",15Z3102M,2019-10-25 20:15:44,Direct clinical care or management – learning disabilities nursing,School,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
"Kim, Thu",50D5338Y,2019-12-11 15:45:22,Direct clinical care or management – public health,Trade union or professional body,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
"Espinoza, Tamara",02U8167O,2019-03-15 06:34:13,Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
"Baldwin, Shelby",63E9038V,2019-10-23 04:56:51,Research,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
"Huenink, Kayla",03A2763P,2019-01-07 05:55:39,Direct clinical care or management – learning disabilities nursing,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 2,England
"Chapman, Matthew",82O2567I,2019-04-02 22:46:25,Direct clinical care or management – other,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
"Kolb, Kyle",07P9852M,2019-11-03 01:09:09,Direct clinical care or management – health visiting,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
"Ashlock, Kevin",45K8837D,2019-06-02 13:11:03,Commissioning,Hospital or other secondary care,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"el-Ozer, Haitham",96W2449G,2019-11-21 09:42:37,Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Gates, Macy",97C3433E,2019-10-27 23:01:25,Policy,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"al-Jaffer, Nabeel",60B4886J,2019-05-24 17:01:48,Direct clinical care or management – adult and general care nursing,Trade union or professional body,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
"Graves, Justin",48J8181R,2019-06-26 18:28:25,Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
"Sherengo, Dominick",12L1883K,2019-05-05 21:32:29,Research,Hospital or other secondary care,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
"Maddux, Wyatt",86E0738R,2019-01-09 00:35:29,Direct clinical care or management – adult and general care nursing,Military,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Gonzalez, Montica",17N4680T,2019-12-08 03:18:10,Policy,Prison,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
"Kusumoto-Puryear, Annie",66T1310W,2019-08-24 09:35:15,Direct clinical care or management – children’s and neo-natal nursing,Military,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Medina, Giovanni",59T7911Z,2019-07-28 08:04:15,Direct clinical care or management – other,School,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Edwards, Khaliel",11N4841D,2019-09-17 21:32:31,Direct clinical care or management – health visiting,Policy organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Vaca, Zormene",02P7713D,2019-04-12 11:54:43,Direct clinical care or management – occupational health,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
"Castillo, Andrew",60R9591U,2019-01-23 09:45:06,Direct clinical care or management – health visiting,Police,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Weiss, Tayen",19A9583N,2019-09-22 23:41:30,Direct clinical care or management – other,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
"el-Abid, Hanlala",01E1442L,2019-12-28 18:32:09,Direct clinical care or management – midwifery,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"San Pedro, Maysea",52T4658C,2019-02-12 00:35:23,Other,Hospital or other secondary care,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Valdez, Stephanie",11Y0952U,2019-10-02 06:53:02,Commissioning,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
"Gregg, Tyrelle",92Y0174M,2019-11-05 14:46:39,Education,Private domestic setting,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
"Piedrasanta, Luz",43A3541Z,2019-10-08 14:24:40,Policy,Telephone or e-health advice,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
"Ontiveros, Maria",25E6563M,2019-09-20 23:53:14,Direct clinical care or management – adult and general care nursing,Prison,Volunteering,TRUE,testpostcode1,Test organisation 2,England
"Mc Cabe, Tyler",39L9509O,2019-01-21 00:32:57,Quality assurance or inspection,Ambulance service,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Stokes, Deshon",35M5278R,2019-03-10 16:35:46,Direct clinical care or management – adult and general care nursing,Prison,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"el-Ally, Aarifa",83K7958Q,2019-09-24 06:55:36,Direct clinical care or management – learning disabilities nursing,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
"Castillo, Andrew",16W0687O,2019-10-10 11:59:09,Direct clinical care or management – public health,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
"Christensen, Alexander",92O6114V,2019-12-11 09:05:14,Direct clinical care or management – mental health nursing,Other,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Washington, Chukwuma",67Z0308D,2019-05-09 17:51:17,Education,Private domestic setting,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
"al-Hoda, Majdi",22I1369T,2019-01-19 06:14:46,Quality assurance or inspection,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
"al-Can, Abdul Hameed",38L1923W,2019-05-03 23:51:31,Direct clinical care or management – health visiting,Private domestic setting,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Litt, Matthew",74Z9536Y,2019-06-04 15:46:51,Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"al-Latif, Jaabir",72R4876G,2019-10-22 02:01:34,Direct clinical care or management – health visiting,Policy organisation,Self employed,TRUE,testpostcode1,Test organisation 2,England
"Williams, Kyja",22S3717W,2019-12-03 22:13:50,Direct clinical care or management – midwifery,Voluntary or charity sector,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
"Tuzizila, Samantha",71K2750N,2019-09-23 01:44:17,Policy,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Eagle, Sara",73Q8306E,2019-08-13 13:54:41,Direct clinical care or management – occupational health,School,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
"Bolton, Marina",73B9311M,2019-04-09 16:31:49,Research,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Vigil, Kennedy",38X9355R,2019-03-18 22:46:22,Direct clinical care or management – public health,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
"Romero, Brissa",88V8938H,2019-02-11 22:45:59,Direct clinical care or management – midwifery,GP practice or other primary care,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
"Coghlan, Nicholas",59N3360R,2019-05-30 05:02:18,Direct clinical care or management – midwifery,Public health organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
"Garrison, Julie",03U9408Q,2019-06-27 07:51:14,Direct clinical care or management – other,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
"Curtin, Daniel",61C2226U,2019-04-08 07:52:58,Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
"Terry, Ashley",00N5711A,2019-10-12 11:08:15,Direct clinical care or management – occupational health,GP practice or other primary care,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Onyeali, Fredinard",10T0251E,2019-11-24 07:37:49,Direct clinical care or management – midwifery,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
"Choi, Anthony",15O6895O,2019-03-01 02:33:01,Other,Prison,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
"Fenter, Jordan",89X3315D,2019-09-06 06:22:23,Direct clinical care or management – midwifery,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Denning, Elizabeth",56D1205F,2019-03-28 05:40:23,Direct clinical care or management – public health,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
"Dobrzenski, Eva-Lou",98Y1840F,2019-09-15 08:46:25,Education,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
"Wheeler, Jalissah",30I4643F,2019-09-26 13:39:08,Other,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
"Kasper, Justin",38A8675O,2019-09-04 07:14:35,Direct clinical care or management – school nursing,Other,Volunteering,FALSE,testpostcode2,Test organisation 2,Scotland
"Hobson, Susan",86C2572B,2019-06-10 05:07:49,Research,School,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Marlow, Sean",44L7348L,2019-09-12 15:58:35,Research,GP practice or other primary care,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"el-Shakir, Shamaail",26F3209W,2019-01-14 10:05:09,Direct clinical care or management – children’s and neo-natal nursing,Other,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"al-Turay, Rafeeqa",89A9679O,2019-02-08 11:58:13,Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
"el-Siddiqui, Asad",16W2977I,2019-07-04 10:41:01,Direct clinical care or management – occupational health,Other,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
"Bechtel, Cheyenne",39P3004P,2019-04-21 20:28:09,Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
"Lovan, Sierra",51G5652L,2019-09-15 06:34:21,Direct clinical care or management – midwifery,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
"Hance, Kayleen",83N7883E,2019-09-15 04:27:42,Direct clinical care or management – mental health nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
"el-Muhammad, Rasheeqa",12F7184R,2019-07-22 00:09:05,Research,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
"Pottorff, Nimesha",29H6232B,2019-12-04 12:56:45,Education,University or other research facility,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
"Bollinger, Denisee",38Z4103B,2019-07-16 09:31:03,Education,Other,Self employed,TRUE,testpostcode1,Test organisation 2,England
"Varney, Melissa",88I5705X,2019-03-25 22:53:46,Policy,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
