name,pin,joined,reason_for_leaving
"Chui, Kosuke",39H8581C,2019-03-09 06:27:03,NA
"el-Islam, Adeeb",70W5419T,2019-02-19 14:18:34,NA
"Jordan, Jade",88D7347Y,2019-09-21 13:15:09,NA
"al-Basher, Iffat",47E1460Z,2019-10-17 17:51:36,NA
"Ramirez, Savannah",05Q7586Z,2019-09-24 18:41:16,NA
"Ewertz, Brianne",32K0992P,2019-12-24 23:15:48,NA
"Asmelash, Melanie",71H5664M,2019-12-06 21:26:07,NA
"Farley, Erin",10J0187K,2019-12-05 07:06:08,NA
"Martinez, Alicia",68K6464C,2019-02-19 14:18:34,NA
"Cureton, Jaime",69C7434R,2019-05-22 14:57:03,NA
"el-Odeh, Abdul Hakeem",74T3061F,2019-09-03 19:10:18,NA
"Contreras, Benjamin",90C3839R,2019-03-30 13:30:57,NA
"Bruch, Jarid",14V2222C,2019-05-18 02:55:47,NA
"Sasaki, Andrew",05M5985I,2019-06-12 04:40:25,NA
"Lew, Connie",56B1717N,2019-08-28 14:02:47,NA
"Stevens, Ashley",37T9165R,2019-12-24 14:42:07,NA
"Nguyen, Ashley",94M2793X,2019-10-23 19:52:06,NA
"Muniz, Melody",84B0328E,2019-02-21 10:23:03,NA
"Woods, Dylan",86J4909N,2019-03-11 02:54:34,NA
"Bond, Simon",59L4328E,2019-11-08 10:49:35,NA
"Mares, Shelby",33W9426N,2019-06-11 09:25:12,NA
"al-Safar, Numair",06J3876J,2019-10-12 17:32:26,NA
"Roth, Henry",63I0175T,2019-09-06 23:43:09,NA
"Washington, Ryan",77R7604O,2019-11-30 04:17:03,NA
"Downs, Jamie",82A0603L,2019-06-17 10:47:39,NA
"Traylor, Desiree",59S7335P,2019-05-11 17:19:48,NA
"Nichols, Colton",26O8773L,2019-08-02 20:22:05,NA
"al-Ameen, Naseera",17H3941N,2019-06-18 13:16:21,NA
"Sullivan, Varasiddi Mounis",66D0028A,2019-04-10 21:35:34,NA
"Brown, Omar",58S6844C,2019-11-28 15:34:33,NA
"Chang, Quiana",81T7846P,2019-03-01 10:23:56,NA
"Roybal, Damaris",40W6874V,2019-07-22 19:21:23,NA
"Honore, Robert",06Y1880D,2019-06-22 19:15:21,NA
"Rupp, Phelicia",78B0405B,2019-01-28 00:49:53,NA
"John, Wanbli",74V3467J,2019-10-23 19:52:06,NA
"Finley, James",13P0012L,2019-03-17 23:04:02,NA
"el-Rayes, Abdul Wahaab",43R5628F,2019-06-07 22:24:38,NA
"Bush, Emily",87F1132P,2019-10-02 20:03:07,NA
"Berry, Michael",69F5521N,2019-09-24 19:46:00,NA
"Ahnstedt, Tyler",99O1509M,2019-06-17 04:41:12,NA
"Thompson, Andrea",64I8906U,2019-05-05 15:01:07,NA
"Holder, Rylee",31K2219F,2019-08-17 17:46:19,NA
"Tran, Tracey",82P6967I,2019-12-14 04:10:04,NA
"Paulson, Krystal",26T4657V,2019-04-26 10:00:50,NA
"Moreno, Dawnee",44U5639Q,2019-10-22 11:17:16,NA
"Stufflebean, Hayden",20C8312K,2019-06-29 18:24:10,NA
"Brown, Madeline",44V2921W,2019-02-23 18:40:08,NA
"Vanderpool, Lindsey",38B6904I,2019-08-05 17:14:25,NA
"Lucero, Tristany",95P6141X,2019-07-14 22:26:02,NA
"Trevithick, Bailey",98D5220E,2019-11-12 02:41:38,NA
"Kim, Cameron",89X5418N,2019-06-17 05:44:03,NA
"Hamlin, Calvin",52P6656X,2019-11-04 19:19:22,NA
"Fischer, Amaihah",97M4184B,2019-06-09 03:05:46,NA
"Jackson, Jordan",32E5034J,2019-08-06 05:28:27,NA
"Straughter, Alyssa",23U7727P,2019-05-16 15:50:17,NA
