address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
testpostcode1,Nonexistentshire,Wales,Midwife,Adult,TRUE,OH: Occupational health nurse,testdate2,Outside UK,testdate2,Scotland,Other,Female,NA,Hindu
testpostcode2,N-on-existent,Scotland,Nurse & Midwife,Adult,FALSE,SPLD: Specialist practitioner: Learning disability nurse,testdate2,Scotland,testdate1,Wales,British,Other,NA,Sikh
testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,FALSE,RM: Midwife,testdate1,Northern Ireland,testdate1,Scotland,Other,Female,NA,Buddhist
testpostcode2,Nonexistentland,Scotland,Nurse,Mental health,FALSE,SPA: Specialist practitioner: Adult nursing,testdate1,England,testdate1,England,Other,Other,NA,Hindu
testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate1,Scotland,testdate1,Northern Ireland,Other,Other,NA,Other religion
testpostcode1,Nonexistentland,Wales,Midwife,Adult,TRUE,V100: Community practitioner nurse prescriber,testdate2,England,testdate2,Wales,British,Male,NA,Other religion
testpostcode2,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Outside UK,testdate1,Scotland,Other,Other,NA,Christian
testpostcode2,N-on-existent,England,Midwife,Mental health,TRUE,V100: Community practitioner nurse prescriber,testdate2,Northern Ireland,testdate2,Scotland,Other,Female,NA,Religion not stated
testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,FALSE,FHN: Family health nurse,testdate2,Northern Ireland,testdate1,Scotland,British,Female,NA,Buddhist
testpostcode1,N-on-existent,Northern Ireland,Nurse,Mental health,TRUE,FHN: Family health nurse,testdate2,England,testdate2,Scotland,Other,Other,NA,Religion not stated
testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Scotland,testdate1,Scotland,Other,Male,NA,Sikh
testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,SPC: Specialist practitioner: Children's nursing,testdate1,Northern Ireland,testdate2,Wales,British,Other,NA,No religion
testpostcode2,N-on-existent,Wales,Midwife,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Outside UK,testdate1,Northern Ireland,British,Male,NA,Muslim
testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,SPDN: Specialist practitioner: District nursing,testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Male,NA,Hindu
testpostcode2,Nonexistentshire,England,Nurse,Adult,TRUE,SPDN: Specialist practitioner: District nursing,testdate1,Scotland,testdate2,Wales,Other,Other,NA,Religion not stated
testpostcode1,Nonexistentshire,Wales,Midwife,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Scotland,testdate1,Northern Ireland,Other,Female,NA,Jewish
testpostcode1,Nonexistentland,Northern Ireland,Midwife,Mental health,FALSE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Outside UK,testdate2,England,British,Female,NA,Hindu
testpostcode2,Nonexistentshire,Wales,Midwife,Adult,TRUE,RM: Midwife,testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Male,NA,Christian
testpostcode2,Nonexistentshire,Wales,Nurse & Midwife,Adult,TRUE,"RN8: Children's nurse, level 1",testdate2,England,testdate1,Northern Ireland,Other,Female,NA,Muslim
testpostcode2,N-on-existent,Scotland,Nurse,Mental health,FALSE,OH: Occupational health nurse,testdate2,Northern Ireland,testdate2,England,British,Other,NA,Christian
testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,TRUE,FHN: Family health nurse,testdate2,Northern Ireland,testdate1,Wales,British,Female,NA,Religion not stated
testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Wales,testdate2,England,British,Other,NA,Religion not stated
testpostcode2,Nonexistentland,Scotland,Midwife,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Northern Ireland,testdate1,Scotland,Other,Female,NA,Sikh
testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Scotland,testdate1,Wales,Other,Other,NA,Hindu
testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,TCH: Teacher,testdate2,Wales,testdate2,Scotland,British,Male,NA,No religion
testpostcode2,Nonexistentshire,Scotland,Midwife,Adult,TRUE,RHV: Health visitor,testdate1,England,testdate2,Scotland,Other,Female,NA,Sikh
testpostcode1,N-on-existent,Wales,Midwife,Adult,FALSE,SPA: Specialist practitioner: Adult nursing,testdate2,Scotland,testdate2,Northern Ireland,Other,Other,NA,Christian
testpostcode2,Nonexistentshire,England,Nurse,Adult,TRUE,FHN: Family health nurse,testdate1,Northern Ireland,testdate2,Scotland,British,Other,NA,Religion not stated
testpostcode2,N-on-existent,England,Nurse & Midwife,Mental health,FALSE,"RN2: Adult nurse, level 2",testdate2,Scotland,testdate2,Northern Ireland,Other,Female,NA,Christian
testpostcode1,Nonexistentland,Scotland,Nurse,Adult,FALSE,SN: School nurse,testdate1,Wales,testdate2,England,British,Female,NA,Other religion
testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,England,testdate2,Wales,Other,Other,NA,Buddhist
testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Adult,TRUE,OH: Occupational health nurse,testdate1,Scotland,testdate1,Wales,Other,Female,NA,Christian
testpostcode2,N-on-existent,Scotland,Nurse,Adult,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Outside UK,testdate2,Northern Ireland,Other,Male,NA,Religion not stated
testpostcode1,Nonexistentshire,Scotland,Nurse,Mental health,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,Outside UK,testdate1,Wales,British,Other,NA,Other religion
testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Mental health,TRUE,OH: Occupational health nurse,testdate1,Scotland,testdate2,Northern Ireland,British,Male,NA,Buddhist
testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate1,England,testdate2,Scotland,Other,Male,NA,Buddhist
testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Adult,FALSE,SPMH: Specialist practitioner: Mental health,testdate2,England,testdate1,Wales,British,Male,NA,Other religion
testpostcode2,N-on-existent,England,Midwife,Mental health,TRUE,V200: Nurse independent prescriber (extended formulary),testdate1,Wales,testdate2,England,Other,Female,NA,Buddhist
testpostcode2,Nonexistentland,England,Midwife,Adult,FALSE,"RN7: General nurse, level 2",testdate1,Wales,testdate2,England,Other,Female,NA,Muslim
testpostcode1,N-on-existent,England,Midwife,Adult,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Outside UK,testdate2,Northern Ireland,British,Female,NA,Jewish
testpostcode1,N-on-existent,Scotland,Midwife,Mental health,FALSE,RFHN: Family health nurse,testdate1,Wales,testdate2,Northern Ireland,British,Female,NA,Religion not stated
testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Adult,TRUE,RFHN: Family health nurse,testdate2,Wales,testdate2,Northern Ireland,Other,Male,NA,Hindu
testpostcode1,Nonexistentland,Scotland,Midwife,Adult,TRUE,"RN4: Mental health nurse, level 2",testdate2,England,testdate1,England,British,Female,NA,Hindu
testpostcode1,Nonexistentshire,England,Nurse,Mental health,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Northern Ireland,testdate2,Wales,Other,Other,NA,Jewish
testpostcode1,Nonexistentland,Northern Ireland,Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Male,NA,Religion not stated
testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Adult,TRUE,"RNC: Children's nurse, level 1",testdate2,Scotland,testdate2,Wales,British,Other,NA,Religion not stated
testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,"RN6: Learning disabilities nurse, level 2",testdate1,Wales,testdate1,Northern Ireland,British,Male,NA,Christian
