name,pin,joined,address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
"el-Farran, Hudhaifa",05G3939G,2019-05-17 18:56:13,testpostcode2,Nonexistentland,Northern Ireland,Midwife,Adult,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,England,testdate1,Scotland,Other,Male,NA,Sikh
"Jackson, Angelina",95A6039P,2019-04-18 18:50:39,testpostcode1,N-on-existent,England,Midwife,Adult,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,England,testdate1,Northern Ireland,British,Female,NA,Sikh
"Grant, Tasia",60V2586D,2019-07-22 04:19:24,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,FALSE,LPE: Lecturer / Practice educator,testdate2,Wales,testdate2,England,Other,Other,NA,Christian
"Krishan, Yasmeen",09N5008I,2019-11-29 08:47:56,testpostcode2,Nonexistentshire,Northern Ireland,Nurse & Midwife,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate1,Outside UK,testdate1,Wales,Other,Other,NA,Christian
"Page, Jasmyn",87F7512K,2019-11-25 12:11:56,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate1,Wales,testdate2,Northern Ireland,British,Female,NA,Sikh
"el-Salahuddin, Muhaajir",86B4374C,2019-07-21 08:53:58,testpostcode2,N-on-existent,Scotland,Midwife,Adult,TRUE,RM: Midwife,testdate1,Northern Ireland,testdate2,England,British,Other,NA,Christian
"Flores Diaz, David",02U9973R,2019-08-04 00:00:18,testpostcode2,Nonexistentshire,Wales,Nurse & Midwife,Adult,TRUE,ROH: Occupational health nurse,testdate2,Northern Ireland,testdate2,Scotland,Other,Male,NA,Other religion
"Chen, Sarah",21I1058W,2019-03-02 00:38:06,testpostcode2,Nonexistentshire,Scotland,Midwife,Adult,FALSE,V200: Nurse independent prescriber (extended formulary),testdate2,Outside UK,testdate2,Northern Ireland,British,Other,NA,Muslim
"Roberts, Tiana",51R1921L,2019-07-07 12:47:34,testpostcode1,Nonexistentshire,Scotland,Nurse,Adult,FALSE,RM: Midwife,testdate2,Scotland,testdate1,Scotland,British,Other,NA,Other religion
"Brussel, Leioka",54W7645B,2019-05-10 23:52:48,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Adult,TRUE,SPDN: Specialist practitioner: District nursing,testdate2,Northern Ireland,testdate1,Northern Ireland,British,Female,NA,Muslim
"el-Jafri, Zaghlool",55I4814Y,2019-07-24 23:27:13,testpostcode1,Nonexistentshire,Scotland,Midwife,Mental health,FALSE,"RNMH: Mental health nurse, level 1",testdate2,Scotland,testdate2,Scotland,British,Other,NA,Jewish
