name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Smith, Delilah",71H6059N,2019-03-26 11:05:04,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,TRUE
"Maley, David",75U9207H,2019-09-15 03:03:27,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,CPD,TRUE,FALSE
"Candelaria, Nickolas",16C6485V,2019-01-06 17:11:58,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Confirmation,TRUE,FALSE
"Completo, Danielle",09C8105Z,2019-11-27 14:41:04,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,CPD,TRUE,FALSE
"al-Arif, Shameema",66S4203G,2019-05-15 18:40:04,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Sells, Tracie",55W2963X,2019-01-23 21:39:42,FALSE,Midwife outside the UK,Yes,Ill health,Nurse,CPD,TRUE,FALSE
"Bruce, Selena",45Y5869K,2019-10-19 20:41:12,TRUE,Nurse outside the UK,No,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Luna, Oscar",09O7647K,2019-03-03 18:06:15,FALSE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Vang, Anthony",90H6718W,2019-06-12 15:18:05,FALSE,Nurse outside the UK,No,Retirement,Midwife,Reflective discussion,FALSE,TRUE
"al-Mansour, Shafee'a",32W0177P,2019-12-18 06:56:49,FALSE,Nurse outside the UK,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"Camelin, Samuel",15H1876T,2019-12-30 04:18:39,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Chavez-Villasenor, Angelita",67J0179N,2019-03-07 03:07:49,FALSE,Nurse inside the UK,Partial lapse,Retirement,Nurse,Confirmation,FALSE,FALSE
"Ponce, Charles",63S3311I,2019-12-24 21:35:59,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,TRUE,FALSE
